Date,Time,Open,High,Low,Close,Tick,Volume,Spread
2021.03.01,13:09:00,111965,111970,111910,111940,4743,19875,5
2021.03.01,13:10:00,111940,112010,111940,111980,11626,48861,5
2021.03.01,13:11:00,111980,112005,111960,111975,4990,22417,5
2021.03.01,13:12:00,111975,112050,111965,112040,6225,26586,5
2021.03.01,13:13:00,112040,112135,112010,112125,13935,58648,5
2021.03.01,13:14:00,112120,112220,112100,112205,10525,44451,5
2021.03.01,13:15:00,112205,112230,112140,112140,11114,45607,5
2021.03.01,13:16:00,112140,112185,112075,112105,9723,40861,5
2021.03.01,13:17:00,112110,112165,112065,112080,6486,27158,5
2021.03.01,13:18:00,112080,112185,112075,112160,7789,34460,5
2021.03.01,13:19:00,112165,112185,112065,112115,6158,26400,5
2021.03.01,13:20:00,112110,112175,112085,112160,6168,28649,5
2021.03.01,13:21:00,112160,112255,112155,112170,11396,45664,5
2021.03.01,13:22:00,112175,112210,112145,112155,4788,22394,5
2021.03.01,13:23:00,112155,112210,112120,112200,5117,23588,5
2021.03.01,13:24:00,112205,112240,112170,112205,6159,26425,5
2021.03.01,13:25:00,112205,112290,112190,112205,10378,42167,5
2021.03.01,13:26:00,112205,112245,112135,112135,7632,30322,5
2021.03.01,13:27:00,112140,112155,112070,112100,10027,42502,5
2021.03.01,13:28:00,112100,112165,112070,112110,6518,28437,5
2021.03.01,13:29:00,112110,112140,112075,112140,4340,20013,5
2021.03.01,13:30:00,112140,112215,112135,112140,8461,36666,5
2021.03.01,13:31:00,112145,112225,112115,112205,6884,29855,5
2021.03.01,13:32:00,112200,112250,112165,112170,6817,28153,5
2021.03.01,13:33:00,112170,112260,112145,112245,6523,26680,5
2021.03.01,13:34:00,112245,112295,112220,112255,9008,37748,5
2021.03.01,13:35:00,112255,112295,112220,112235,6032,26350,5
2021.03.01,13:36:00,112235,112325,112235,112290,8460,36439,5
2021.03.01,13:37:00,112290,112295,112240,112260,4459,20319,5
2021.03.01,13:38:00,112260,112310,112250,112275,4015,18388,5
2021.03.01,13:39:00,112280,112300,112200,112220,7955,33887,5
2021.03.01,13:40:00,112225,112320,112200,112290,7996,34534,5
2021.03.01,13:41:00,112290,112305,112265,112290,2905,12474,5
2021.03.01,13:42:00,112290,112325,112265,112300,5562,24772,5
2021.03.01,13:43:00,112295,112325,112260,112325,3454,15021,5
2021.03.01,13:44:00,112325,112370,112275,112305,9152,33596,5
2021.03.01,13:45:00,112305,112310,112225,112235,7153,27679,5
2021.03.01,13:46:00,112235,112270,112205,112240,5213,20941,5
2021.03.01,13:47:00,112240,112255,112180,112200,6757,27225,5
2021.03.01,13:48:00,112200,112270,112195,112225,5180,30468,5
2021.03.01,13:49:00,112220,112380,112220,112335,11204,44908,5
2021.03.01,13:50:00,112335,112370,112285,112325,7669,31087,5
2021.03.01,13:51:00,112320,112350,112260,112285,5967,23149,5
2021.03.01,13:52:00,112285,112300,112175,112215,9284,36719,5
2021.03.01,13:53:00,112210,112215,112105,112130,11633,44566,5
2021.03.01,13:54:00,112135,112155,112115,112135,3483,13372,5
2021.03.01,13:55:00,112140,112145,112095,112120,5689,21749,5
2021.03.01,13:56:00,112120,112130,112035,112095,9740,35017,5
2021.03.01,13:57:00,112090,112135,112070,112120,4823,20243,5
2021.03.01,13:58:00,112120,112170,112085,112160,7328,29569,5
2021.03.01,13:59:00,112160,112160,112045,112080,7871,29707,5
2021.03.01,14:00:00,112080,112215,112080,112205,11344,43341,5
2021.03.01,14:01:00,112205,112320,112195,112310,13742,51122,5
2021.03.01,14:02:00,112315,112365,112275,112355,8591,33187,5
2021.03.01,14:03:00,112350,112425,112335,112375,13910,51228,5
2021.03.01,14:04:00,112370,112375,112240,112265,11264,41789,5
2021.03.01,14:05:00,112265,112370,112260,112340,8640,32718,5
2021.03.01,14:06:00,112340,112400,112335,112355,7681,31460,5
2021.03.01,14:07:00,112355,112400,112340,112380,3780,14715,5
2021.03.01,14:08:00,112385,112415,112335,112335,6560,26211,5
2021.03.01,14:09:00,112340,112375,112310,112335,5287,19504,5
2021.03.01,14:10:00,112335,112440,112325,112415,6974,27439,5
2021.03.01,14:11:00,112415,112445,112340,112365,9216,33804,5
2021.03.01,14:12:00,112365,112405,112350,112395,3363,11768,5
2021.03.01,14:13:00,112400,112435,112390,112405,4341,16899,5
2021.03.01,14:14:00,112410,112415,112345,112345,5539,23596,5
2021.03.01,14:15:00,112345,112370,112275,112285,11924,46852,5
2021.03.01,14:16:00,112285,112345,112265,112295,7591,31725,5
2021.03.01,14:17:00,112300,112310,112155,112200,12692,45897,5
2021.03.01,14:18:00,112200,112205,112135,112195,7486,28852,5
2021.03.01,14:19:00,112195,112240,112190,112200,5751,22732,5
2021.03.01,14:20:00,112200,112270,112170,112245,8043,32937,5
2021.03.01,14:21:00,112250,112255,112190,112235,4676,18611,5
2021.03.01,14:22:00,112235,112385,112235,112295,13467,51590,5
2021.03.01,14:23:00,112295,112300,112235,112280,6118,24903,5
2021.03.01,14:24:00,112285,112295,112255,112260,2954,13235,5
2021.03.01,14:25:00,112260,112320,112250,112300,4742,19546,5
2021.03.01,14:26:00,112300,112310,112250,112265,3886,17049,5
2021.03.01,14:27:00,112255,112270,112175,112200,8010,30389,5
2021.03.01,14:28:00,112205,112210,112130,112145,7075,27752,5
2021.03.01,14:29:00,112145,112175,112115,112135,6337,27302,5
2021.03.01,14:30:00,112130,112190,112095,112100,10004,41573,5
2021.03.01,14:31:00,112105,112210,112080,112200,9507,37476,5
2021.03.01,14:32:00,112200,112310,112170,112265,12891,52852,5
2021.03.01,14:33:00,112270,112340,112255,112305,6771,27781,5
2021.03.01,14:34:00,112300,112335,112265,112330,5000,20422,5
2021.03.01,14:35:00,112330,112360,112295,112305,8048,30954,5
2021.03.01,14:36:00,112300,112350,112275,112340,6116,25424,5
2021.03.01,14:37:00,112340,112355,112270,112285,5237,19831,5
2021.03.01,14:38:00,112280,112325,112280,112320,3211,13830,5
2021.03.01,14:39:00,112315,112325,112250,112270,5075,22437,5
2021.03.01,14:40:00,112270,112325,112265,112295,3894,17778,5
2021.03.01,14:41:00,112295,112325,112265,112320,4174,18666,5
2021.03.01,14:42:00,112325,112370,112305,112345,8165,33089,5
2021.03.01,14:43:00,112345,112370,112310,112310,4672,20260,5
2021.03.01,14:44:00,112310,112335,112225,112240,9752,39966,5
2021.03.01,14:45:00,112240,112360,112225,112360,9983,40098,5
2021.03.01,14:46:00,112360,112420,112345,112385,11675,43389,5
2021.03.01,14:47:00,112390,112580,112380,112540,22386,91645,5
2021.03.01,14:48:00,112535,112590,112495,112565,11023,43192,5
2021.03.01,14:49:00,112560,112630,112515,112610,9663,37508,5
2021.03.01,14:50:00,112610,112635,112560,112590,9076,35850,5
